BSE/BOM533022,20 Microns Ltd
NSE/GANDHITUBE,Gandhi Special Tubes Ltd
BSE/BOM530237,Gandhinagar Hotels Ltd
BSE/BOM511489,Gandhinagar Leasing & Finance Ltd
BSE/BOM500153,Ganesh Benzoplast Ltd
BSE/BOM504397,Ganesh Holdings Ltd
NSE/GANESHHOUC,Ganesh Housing Corporation Ltd
BSE/BOM514167,Ganesha Ecosphere Ltd
BSE/BOM531813,Ganga Papers India Ltd
BSE/BOM530945,Gangotri Iron & Steel Company Ltd
BSE/BOM521176,Gangotri Textiles Ltd
BSE/BOM512443,Ganon Trading Finance Coltd
BSE/BOM500155,Garden Silk Mills Ltd
BSE/BOM530615,Garg Furnace Ltd
BSE/BOM526727,Garnet Construction Ltd
BSE/BOM512493,Garnet International Ltd
BSE/BOM530161,Garodia Chemicals Ltd
BSE/BOM536591,Garwarbbph
BSE/BOM509563,Garware Marine Industries Ltd
BSE/BOM500655,Garware Polyester Ltd
BSE/BOM514400,Garware Synthetics Ltd
NSE/GARWALLROP,Garware Wall Ropes Ltd
BSE/BOM509557,Garware-wall Ropes Ltd
BSE/BOM532622,Gateway Distriparks Ltd
BSE/BOM532345,Gati Ltd
BSE/BOM524564,Gayatri Bioorganics Ltd
BSE/BOM532767,Gayatri Projects Ltd
BSE/BOM532183,Gayatri Sugars Ltd
BSE/BOM512479,Gayatri Tissue & Papers Ltd
BSE/BOM538319,Gcm Capital Advisors Ltd
BSE/BOM535917,Gcm Commodity & Derivatives Ltd
BSE/BOM535431,Gcm Securities Ltd
BSE/BOM530855,Gdl Leasing & Finance Ltd
BSE/BOM532309,Ge Power India Ltd
BSE/BOM522275,Ge T&d India Ltd
BSE/BOM515097,Gee Gee Granites Ltd
BSE/BOM504028,Gee Ltd
BSE/BOM532764,Geecee Ventures Ltd
BSE/BOM530389,Geefcee Finance Ltd
BSE/BOM530743,Gei Industrial Systems Ltd
BSE/BOM521133,Gem Spinners India Ltd
BSE/BOM532318,Gemini Communication Ltd
BSE/BOM511652,Gemmia Oiltech (india) Ltd
BSE/BOM531137,Gemstone Investments Ltd
BSE/BOM590133,Genera Agri Corp Ltd
BSE/BOM506109,Genesys International Corporation Ltd
BSE/BOM531739,Gennex Laboratories Ltd
BSE/BOM539206,Genomic Valley Biotech Ltd
BSE/BOM531939,Genus Commu-trade Ltd
BSE/BOM538961,Genus Paper & Boards Ltd
NSE/GENUSPOWER,Genus Power Infrastructures Ltd
BSE/BOM503699,Geodesic Ltd
BSE/BOM532285,Geojit Bnp Paribas Financial Services Ltd
BSE/BOM532312,Geometric Ltd
BSE/BOM536105,Geshipbbph
BSE/BOM531055,Gfl Financials India Ltd
BSE/BOM500171,Ghcl Ltd
BSE/BOM533048,Gi Engineering Solutions Ltd
BSE/BOM511676,Gic Housing Finance Ltd
BSE/BOM538788,Gilada Finance & Investments Ltd
BSE/BOM532716,Gillanders Arbuthnot & Coltd
NSE/GILLANDERS,Gillanders Arbuthnot & Company Ltd
BSE/BOM507815,Gillette India Ltd
BSE/BOM531744,Gini Silk Mills Ltd
BSE/BOM590025,Ginni Filaments Ltd
BSE/BOM507506,Girdharilal Sugar & Allied Industries Ltd
BSE/BOM539013,Gita Renewable Energy Ltd
BSE/BOM532715,Gitanjali Gems Ltd
BSE/BOM533212,Gkb Ophthalmics Ltd
NSE/GKWLtd.,GKW Ltd
BSE/BOM531199,Glance Finance Ltd
BSE/BOM500676,Glaxosmithkline Consumer Healthcare Ltd
BSE/BOM500660,Glaxosmithkline Pharmaceuticals Ltd
BSE/BOM532296,Glenmark Pharmaceuticals Ltd
BSE/BOM513528,Glittek Granites Ltd
BSE/BOM530263,Global Capital Markets Ltd
BSE/BOM531463,Global Infratech & Finance Ltd
BSE/BOM531479,Global Land Masters Corporation Ltd
NSE/GLOBOFFS,Global Offshore Services Ltd
BSE/BOM530657,Global Securities Ltd
BSE/BOM532773,Global Vectra Helicorp Ltd
BSE/BOM526025,Globus Constructors & Developers Ltd
BSE/BOM531904,Globus Corporation Ltd
BSE/BOM533104,Globus Spirits Ltd
BSE/BOM532672,Glodyne Technoserve Ltd
BSE/BOM532857,Glory Polyfilms Ltd
BSE/BOM538595,Gloster Ltd
NSE/GMBREW,GM Breweries Ltd
BSE/BOM505255,Gmm Pfaudler Ltd
BSE/BOM532754,Gmr Infrastructure Ltd
NSE/GNA,GNA Axles Ltd
NSE/GOACARBON,Goa Carbon Ltd
BSE/BOM506480,Gocl Corporation Ltd
BSE/BOM530317,Godavari Drugs Ltd
BSE/BOM532734,Godawari Power & Ispat Ltd
NSE/GPIL,Godawari Power And Ispat Ltd
BSE/BOM500163,Godfrey Phillips India Ltd
BSE/BOM532424,Godrej Consumer Products Ltd
BSE/BOM500164,Godrej Industries Ltd
BSE/BOM533150,Godrej Properties Ltd
BSE/BOM538787,Goenka Business & Finance Ltd
BSE/BOM533189,Goenka Diamond & Jewels Ltd
NSE/GOENKA,Goenka Diamond and Jewels Ltd
BSE/BOM531600,Gogia Capital Services Ltd
BSE/BOM532957,Gokak Textiles Ltd
BSE/BOM532630,Gokaldas Exports Ltd
NSE/GOKULAGRO,Gokul Agro Resources Ltd
BSE/BOM532980,Gokul Refoils & Solvent Ltd
NSE/GOKUL,Gokul Refoils and Solvent Ltd
BSE/BOM532786,Gol Offshore Ltd
BSE/BOM538542,Gold Coin Health Foods Ltd
BSE/BOM538180,Gold Line International Finvest Ltd
BSE/BOM501111,Gold Rock Investments Ltd
BSE/BOM505576,Goldcrest Corporation Ltd
BSE/BOM531928,Golden Carpets Ltd
BSE/BOM530579,Golden Goenka Fincorp Ltd
BSE/BOM509024,Golden Legand Leasing & Finance Ltd
BSE/BOM500151,Golden Tobacco Ltd
BSE/BOM526729,Goldiam International Ltd
BSE/BOM532439,Goldstone Infratech Ltd
BSE/BOM531439,Goldstone Technologies Ltd
BSE/BOM531360,Golechha Global Finance Ltd
BSE/BOM513309,Golkonda Aluminium Extrusions Ltd
BSE/BOM523676,Golkunda Diamonds & Jewellery Ltd
BSE/BOM504701,Gontermann-peipers (india) Ltd
BSE/BOM530655,Goodluck India Ltd
BSE/BOM500166,Goodricke Group Ltd
BSE/BOM500168,Goodyear India Ltd
BSE/BOM531913,Gopal Iron & Steels Co(gujarat) Ltd
BSE/BOM526717,Gopala Polyplast Ltd
BSE/BOM531419,Goplee Infotech Ltd
BSE/BOM531608,Gorani Industries Ltd
BSE/BOM531111,Gothi Plascon (india) Ltd
BSE/BOM509148,Govind Rubber Ltd
BSE/BOM530709,Gowra Leasing & Finance Ltd
BSE/BOM530663,Goyal Associates Ltd
BSE/BOM532543,Gp Petroleums Ltd
BSE/BOM533761,Gpt Infraprojects Ltd
BSE/BOM517564,Gr Cables Ltd
NSE/GRABALALK,Grabal Alok Impex Ltd
BSE/BOM590126,Gradiente Infotainment Ltd
BSE/BOM539235,Grandeur Products Ltd
BSE/BOM504369,Grandma Trading & Agencies Ltd
NSE/GRANULES,Granules India Ltd
BSE/BOM509488,Graphite India Ltd
BSE/BOM500300,Grasim Industries Ltd
BSE/BOM526751,Gratex Industries Ltd
BSE/BOM505710,Grauer & Weil (india) Ltd
BSE/BOM509546,Graviss Hospitality Ltd
BSE/BOM533282,Gravita India Ltd
BSE/BOM532015,Gravity (india) Ltd
BSE/BOM500620,Great Eastern Shipping Coltd
BSE/BOM501455,Greaves Cotton Ltd
BSE/BOM590057,Green Fire Agri Commodities Ltd
BSE/BOM531737,Greencrest Financial Services Ltd
BSE/BOM538979,Greenlam Industries Ltd
BSE/BOM526797,Greenply Industries Ltd
BSE/BOM508918,Greycells Education Ltd
NSE/GRINDWELL,Grindwell Norton Ltd
BSE/BOM531449,Grm Overseas Ltd
BSE/BOM501314,Gromo Trade & Consultancy Ltd
BSE/BOM509152,Grp Ltd
BSE/BOM511288,Gruh Finance Ltd
BSE/BOM511543,Gsb Finance Ltd
BSE/BOM530605,Gsl Nova Petrochemicals Ltd
BSE/BOM530469,Gsl Securities Ltd
BSE/BOM532951,Gss Infotech Ltd
BSE/BOM532775,Gtl Infrastructure Ltd
BSE/BOM500160,Gtl Ltd
BSE/BOM500170,Gtn Industries Ltd
BSE/BOM532744,Gtn Textiles Ltd
BSE/BOM509079,Gufic Biosciences Ltd
BSE/BOM530001,Gujarat Alkalies & Chemicals Ltd
NSE/GUJALKALI,Gujarat Alkalies and Chemicals Ltd
BSE/BOM524226,Gujarat Ambuja Exports Ltd
BSE/BOM522217,Gujarat Apollo Industries Ltd
BSE/BOM505712,Gujarat Automotive Gears Ltd
BSE/BOM539009,Gujarat Bitumen Ltd
BSE/BOM523768,Gujarat Borosil Ltd
BSE/BOM506457,Gujarat Carbon & Industries Ltd
BSE/BOM513507,Gujarat Containers Ltd
BSE/BOM514386,Gujarat Cotex Ltd
BSE/BOM526965,Gujarat Craft Industries Ltd
BSE/BOM511441,Gujarat Credit Corporation Ltd
BSE/BOM500173,Gujarat Fluorochemicals Ltd
BSE/BOM531410,Gujarat Foils Ltd
BSE/BOM523477,Gujarat Gas Coltd
NSE/GUJRATGAS,Gujarat Gas Company Ltd
BSE/BOM539336,Gujarat Gas Ltd
BSE/BOM507960,Gujarat Hotels Ltd
BSE/BOM517300,Gujarat Industries Power Coltd
NSE/GIPCL,Gujarat Industries Power Company Ltd
BSE/BOM517372,Gujarat Intrux Ltd
BSE/BOM531341,Gujarat Investa Ltd
BSE/BOM500174,Gujarat Lease Financing Ltd
BSE/BOM524754,Gujarat Meditech Ltd
BSE/BOM531881,Gujarat Metallic Coal & Coke Ltd
BSE/BOM532181,Gujarat Mineral Development Corporation Ltd
BSE/BOM526598,Gujarat Narmada Flyash Coltd
BSE/BOM500670,Gujarat Narmada Valley Fertilizers & Chemicals Ltd
NSE/GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd
BSE/BOM513536,Gujarat Natural Resources Ltd
BSE/BOM570003,Gujarat Nre Coke Ltd
BSE/BOM501368,Gujarat Organics Ltd
BSE/BOM506858,Gujarat Petrosynthese Ltd
BSE/BOM533248,Gujarat Pipavav Port Ltd
BSE/BOM517288,Gujarat Poly-avx Electronics Ltd
BSE/BOM523836,Gujarat Raffia Industries Ltd
BSE/BOM518029,Gujarat Sidhee Cement Ltd
NSE/GUJSIDHCEM,Gujarat Sidhee Cements Ltd
BSE/BOM500690,Gujarat State Fertilizers & Chemicals Ltd
NSE/GUJSTATFIN,Gujarat State Financial Corporation
BSE/BOM532160,Gujarat State Financial Corporation Ltd
BSE/BOM532702,Gujarat State Petronet Ltd
BSE/BOM524314,Gujarat Terce Laboratories Ltd
BSE/BOM506879,Gujarat Themis Biosyn Ltd
BSE/BOM513337,Gujarat Toolroom Ltd
BSE/BOM506640,Gujchem Distillers India Ltd
NSE/GULFCORP,Gulf Oil Corporation Ltd
BSE/BOM538567,Gulf Oil Lubricants India Ltd
BSE/BOM532425,Gulshan Chemfill Ltd
BSE/BOM532457,Gulshan Polyols Ltd
BSE/BOM514360,Gupta Carpets International Ltd
BSE/BOM514116,Gupta Synthetics Ltd
BSE/BOM523277,Gv Films Ltd
BSE/BOM532708,Gvk Power & Infrastructure Ltd
BSE/BOM530141,Gyan Developers & Builders Ltd
BSE/BOM533275,Gyscoal Alloys Ltd
BSE/BOM539337,Hk Trade International Ltd
BSE/BOM502873,Hpcotton Textile Mills Ltd
BSE/BOM532145,Hsindia Ltd
BSE/BOM515147,Haldyn Glass Ltd
NSE/HALONIX,Halonix Ltd
BSE/BOM514308,Hanjer Fibres Ltd
BSE/BOM532770,Hanung Toys & Textiles Ltd
NSE/HANUNG,Hanung Toys and Textiles Ltd
BSE/BOM509597,Hardcastle & Waud Mfgcoltd
BSE/BOM531971,Hari Govind International Ltd
BSE/BOM538081,Haria Apparels Ltd
BSE/BOM512604,Haria Exports Ltd
NSE/HARITASEAT,Harita Seating Systems Ltd
BSE/BOM526931,Hariyana Ship Breakers Ltd
BSE/BOM530055,Harmony Capital Services Ltd
BSE/BOM500467,Harrisons Malayalam Ltd
BSE/BOM532855,Haryana Capfin Ltd
BSE/BOM530927,Haryana Financial Corporation Ltd
BSE/BOM524080,Haryana Leather Chemicals Ltd
BSE/BOM514296,Haryana Texprints (overseas) Ltd
BSE/BOM531387,Hasti Finance Ltd
BSE/BOM509073,Hathway Bhawani Cabletel & Datacom Ltd
BSE/BOM533162,Hathway Cable & Datacom Ltd
BSE/BOM531531,Hatsun Agro Product Ltd
BSE/BOM517354,Havells India Ltd
BSE/BOM539176,Hawa Engineers Ltd
BSE/BOM508486,Hawkins Cookers Ltd
BSE/BOM532467,Hazoor Multi Projects Ltd
BSE/BOM532334,Hb Estate Developers Ltd
BSE/BOM508956,Hb Leasing & Finance Coltd
BSE/BOM532333,Hb Portfolio Ltd
BSE/BOM532216,Hb Stockholdings Ltd
NSE/HBLPOWER,HBL Power Systems Ltd
BSE/BOM500179,Hcl Infosystems Ltd
BSE/BOM532281,Hcl Technologies Ltd
BSE/BOM500180,Hdfc Bank Ltd
BSE/BOM539139,Hdfc Focused Equity Fund Plan A - Direct Option - Growth
BSE/BOM538981,Hdfc Focused Equity Fund Plan A - Direct Option- Dividend Option
BSE/BOM538980,Hdfc Focused Equity Fund Plan A - Direct Option- Growth Option
BSE/BOM539140,Hdfc Focused Equity Fund Plan A- Direct Option - Dividend Payout
BSE/BOM538983,Hdfc Focused Equity Fund Plan A-regular Option - Dividend Option
BSE/BOM538982,Hdfc Focused Equity Fund Plan A-regular Option- Growth Option
BSE/BOM539138,Hdfc Focused Equity Fund Plan B - Regular Option- Dividend Payout
BSE/BOM539134,Hdfc Focused Equity Fund Plan B - Regular Option- Growth
BSE/BOM537866,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2 - Regular Plan - G O
BSE/BOM537869,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Dvdd P O
BSE/BOM537868,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Growth O
BSE/BOM537867,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2-regular Plan- D P O
NSE/HDFCMFGETF,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
NSE/HDFCNIFETF,HDFCAMC - HDFCNIFETF
NSE/HDFCSENETF,HDFCAMC - HDFCSENETF
NSE/HCG,Healthcare Global Enterprises Ltd
BSE/BOM533525,Healthfore Technologies Ltd
BSE/BOM503689,Healthy Investments Ltd
BSE/BOM526967,Heera Ispat Ltd
BSE/BOM509631,Heg Ltd
BSE/BOM500292,Heidelbergcement India Ltd
BSE/BOM532347,Helios & Matheson Information Technology Ltd
NSE/HELIOSMATH,Helios And Matheson Information Technology Ltd
BSE/BOM520026,Hella India Lighting Ltd
BSE/BOM539174,Helpage Finlease Ltd
BSE/BOM505520,Hem Holdings & Trading Ltd
BSE/BOM531178,Hemang Resources Ltd
BSE/BOM524590,Hemo Organic Ltd
BSE/BOM505720,Hercules Hoists Ltd
BSE/BOM519552,Heritage Foods Ltd
BSE/BOM500182,Hero Motocorp Ltd
BSE/BOM524669,Hester Biosciences Ltd
BSE/BOM534328,Hexa Tradex Ltd
BSE/BOM532129,Hexaware Technologies Ltd
BSE/BOM504176,High Energy Batteries (india) Ltd
BSE/BOM517080,High Ground Enterprise Ltd
BSE/BOM531301,High Street Filatex Ltd
BSE/BOM524735,Hikal Ltd
BSE/BOM509675,Hil Ltd
BSE/BOM532847,Hilton Metal Forging Ltd
BSE/BOM514010,Himachal Fibres Ltd
BSE/BOM500183,Himachal Futuristic Communications Ltd
NSE/HCIL,Himadri Chemicals and Industries Ltd
BSE/BOM500184,Himadri Speciality Chemical Ltd
BSE/BOM513723,Himalaya Granites Ltd
BSE/BOM511169,Himalchuli Food Products Ltd
BSE/BOM526899,Himalya International Ltd
BSE/BOM514043,Himatsingka Seide Ltd
BSE/BOM531979,Hind Aluminium Industries Ltd
BSE/BOM538652,Hind Commerce Ltd
BSE/BOM526307,Hind Industries Ltd
BSE/BOM504036,Hind Rectifiers Ltd
BSE/BOM539114,Hind Securities & Credits Ltd
BSE/BOM503881,Hind Syntex Ltd
BSE/BOM500440,Hindalco Industries Ltd
BSE/BOM509895,Hindoostan Mills Ltd
NSE/HINDUJAFO,Hinduja Foundries Ltd
BSE/BOM532859,Hinduja Global Solutions Ltd
BSE/BOM500189,Hinduja Ventures Ltd
BSE/BOM514428,Hindustan Adhesives Ltd
BSE/BOM531918,Hindustan Appliances Ltd
BSE/BOM532041,Hindustan Bio Sciences Ltd
BSE/BOM509635,Hindustan Composites Ltd
BSE/BOM500185,Hindustan Construction Coltd
NSE/HCC,Hindustan Construction Company Ltd
BSE/BOM513599,Hindustan Copper Ltd
BSE/BOM509627,Hindustan Dorr-oliver Ltd
BSE/BOM505725,Hindustan Everest Tools Ltd
BSE/BOM524013,Hindustan Fluorocarbons Ltd
BSE/BOM519126,Hindustan Foods Ltd
BSE/BOM505893,Hindustan Hardy Spicer Ltd
BSE/BOM509650,Hindustan Housing Coltd
BSE/BOM533217,Hindustan Media Ventures Ltd
BSE/BOM500500,Hindustan Motors Ltd
BSE/BOM500186,Hindustan Oil Exploration Coltd
NSE/HINDOILEXP,Hindustan Oil Exploration Company Ltd
BSE/BOM500449,Hindustan Organic Chemicals Ltd
BSE/BOM500104,Hindustan Petroleum Corporation Ltd
BSE/BOM530315,Hindustan Tin Works Ltd
BSE/BOM500696,Hindustan Unilever Ltd
BSE/BOM504713,Hindustan Wires Ltd
BSE/BOM500188,Hindustan Zinc Ltd
NSE/HINDNATGLS,Hindusthan National Glass & Industries Ltd
BSE/BOM513039,Hindusthan Udyog Ltd
BSE/BOM530853,Hipolin Ltd
BSE/BOM531743,Hira Automobiles Ltd
BSE/BOM533256,Hira Ferro Alloys Ltd
BSE/BOM506170,Hiran Orgochem Ltd
NSE/HISARMETAL,Hisar Metal Industries Ltd
BSE/BOM521068,Hisar Spinning Mills Ltd
BSE/BOM532359,Hit Kit Global Solutions Ltd
NSE/HITACHIHOM,Hitachi Home and Life Solutions (India) Ltd
NSE/HITECHPLAS,Hitech Plast Ltd
BSE/BOM531661,Hittco Tools Ltd
BSE/BOM500191,Hmt Ltd
BSE/BOM522064,Honda Siel Power Products Ltd
BSE/BOM517174,Honeywell Automation India Ltd
NSE/HORIZONINF,Horizon Infrastructure Ltd
NSE/HOTELEELA,Hotel Leela Venture Ltd
BSE/BOM500193,Hotel Leelaventure Ltd
BSE/BOM526683,Hotel Rugby Ltd
NSE/HOPFL,House of Pearl Fashions Ltd
BSE/BOM532873,Housing Development & Infrastructure Ltd
NSE/HDIL,Housing Development and Infrastructure Ltd
BSE/BOM500010,Housing Development Finance Corpltd
NSE/HDFC,Housing Development Finance Corporation Ltd
BSE/BOM532761,Hov Services Ltd
BSE/BOM526761,Howard Hotels Ltd
BSE/BOM535217,Hpc Biosciences Ltd
NSE/HPL,HPL Electric & Power Ltd
BSE/BOM531724,Hrb Floriculture Ltd
BSE/BOM500187,Hsil Ltd
BSE/BOM532662,Ht Media Ltd
BSE/BOM532799,Hubtown Ltd
BSE/BOM509820,Huhtamaki Ppl Ltd
NSE/HYDRBADIND,Hyderabad Industries Ltd
NSE/HYDROSS,Hydro S & S Industries Ltd
BSE/BOM500199,I G Petrochemicals Ltd
BSE/BOM512405,I-power Solutions India Ltd
BSE/BOM519463,Ib Infotech Enterprises Ltd
BSE/BOM532174,Icici Bank Ltd
NSE/IGOLD,ICICI Prudential Gold ETF
NSE/GOLDIWIN,ICICI Prudential Gold Exchange Traded Fund
BSE/BOM538502,Icici Prudential Growth Fund Series 1 (direct Dividend Option)
BSE/BOM538501,Icici Prudential Growth Fund Series 1 (regular Dividend Payout)
BSE/BOM538578,Icici Prudential Growth Fund Series 2 (direct Plan - Dividend Payout Option)
BSE/BOM538577,Icici Prudential Growth Fund Series 2 (regular Plan - Dividend Payout Option)
BSE/BOM538729,Icici Prudential Growth Fund Series 3 (direct Plan - Dividend Payout Option)
BSE/BOM538728,Icici Prudential Growth Fund Series 3 (regular Plan - Dividend Payout Option)
BSE/BOM538764,Icici Prudential Growth Fund Series 4 (direct Plan - Dividend Payout Option)
BSE/BOM538763,Icici Prudential Growth Fund Series 4 (regular Plan - Dividend Payout Option)
BSE/BOM538893,Icici Prudential Growth Fund Series 6 (direct Plan - Dividend Payout)
BSE/BOM538892,Icici Prudential Growth Fund Series 6 (regular Plan - Dividend Payout)
BSE/BOM538925,Icici Prudential Growth Fund Series 7 (direct Plan - Dividend Payout)
BSE/BOM538924,Icici Prudential Growth Fund Series 7 (regular Plan - Dividend Payout)
BSE/BOM538937,Icici Prudential Growth Fund Series 8 (direct Plan - Dividend Payout)
BSE/BOM538936,Icici Prudential Growth Fund Series 8 (regular Plan - Dividend Payout)
BSE/BOM539085,Icici Prudential India Recovery Fund - Series 1 (direct Plan - Dividend Payout Option)
BSE/BOM539084,Icici Prudential India Recovery Fund - Series 1 (regular Plan - Dividend Payout Option)
BSE/BOM539101,Icici Prudential India Recovery Fund - Series 2 (direct Plan - Dividend Payout Option)
BSE/BOM539100,Icici Prudential India Recovery Fund - Series 2 (regular Plan - Dividend Payout Option)
BSE/BOM539319,Icici Prudential India Recovery Fund Series 3 - Direct Plan - Cumulative Option
BSE/BOM539320,Icici Prudential India Recovery Fund Series 3 - Direct Plan - Dividend Payout
BSE/BOM539321,Icici Prudential India Recovery Fund Series 3 - Regular Plan - Cumulative
BSE/BOM539322,Icici Prudential India Recovery Fund Series 3 - Regular Plan - Dividend Option
NSE/ICICIPRULI,ICICI Prudential Life Insurance Company Ltd
NSE/MIDCAPIWIN,ICICI Prudential Midcap Select ETF
BSE/BOM537651,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1 - Direct Plan Dividend
BSE/BOM537650,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-direct Plan Cumulative
BSE/BOM537648,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-reglr Plan Cumulative
BSE/BOM537649,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-regular Plan Dividend
BSE/BOM539394,Icici Prudential Mutual Fund- Direct Plan Cumulative Option
BSE/BOM539395,Icici Prudential Mutual Fund- Direct Plan Dividend Option
BSE/BOM539396,Icici Prudential Mutual Fund- Regular Plan Cumulative Option
BSE/BOM539397,Icici Prudential Mutual Fund- Regular Plan Dividend Option
NSE/IPGETF,ICICI Prudential Mutual Fund-ICICI Prudential Gold Exchange Traded Fund
NSE/ICNX100,ICICI Prudential Nifty 100 ETF
BSE/BOM537008,Icici Prudential Nifty 100 Iwin Etf
NSE/INIFTY,ICICI Prudential Nifty ETF
NSE/NIFTYIWIN,ICICI Prudential Nifty Exchange Traded Fund
BSE/BOM537007,Icici Prudential Nifty Iwin Etf
NSE/NV20IWIN,ICICI Prudential NV20 ETF
NSE/ISENSEX,ICICI Prudential Sensex ETF
BSE/BOM555555,Icici Prudential Sensex Iwin Etf
BSE/BOM537923,Icici Prudential Value Fund Series 3(direct Dividend Option)
BSE/BOM537922,Icici Prudential Value Fund Series 3(regular Dividend Option)
BSE/BOM538650,Icici Prudential Value Fund Series 5 (direct Cumulative Option)
BSE/BOM538651,Icici Prudential Value Fund Series 5 (direct Dividend Option)
BSE/BOM538648,Icici Prudential Value Fund Series 5 (regular Cumulative Option)
BSE/BOM538649,Icici Prudential Value Fund Series 5 (regular Dividend Option)
BSE/BOM539092,Icici Prudential Value Fund Series 6- Direct Plan Cumulative Option
BSE/BOM539093,Icici Prudential Value Fund Series 6- Direct Plan Dividend Option
BSE/BOM539094,Icici Prudential Value Fund Series 6- Regular Plan Cumulative Option
BSE/BOM539095,Icici Prudential Value Fund Series 6- Regular Plan Dividend Option
BSE/BOM539179,Icici Prudential Value Fund Series 7
BSE/BOM539285,Icici Prudential Value Fund Series 8 - Direct Plan Dividend Option
BSE/BOM539286,Icici Prudential Value Fund Series 8 - Regular Plan Dividend Option
NSE/IMIDCAP,ICICIPRAMC - IMIDCAP
NSE/INV20,ICICIPRAMC - INV20
BSE/BOM532835,Icra Ltd
NSE/ICSA,ICSA (India) Ltd
BSE/BOM534733,Icvl Steels Ltd
BSE/BOM500116,Idbi Bank Ltd
NSE/IDBIGOLD,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund
BSE/BOM532822,Idea Cellular Ltd
BSE/BOM531328,Ideal Optics Ltd
BSE/BOM539437,Idfc Bank Ltd
BSE/BOM535502,Idfc Equity Opportunity- Series 1- Direct Plan- Dividend
BSE/BOM535501,Idfc Equity Opportunity- Series 1- Regular Plan- Dividend
BSE/BOM532659,Idfc Ltd
BSE/BOM537412,Idfc Mutual Fund - Idfc Equity Opportunity- Series 2 - Direct Plan- Dividend
BSE/BOM537701,Idfc Mutual Fund - Idfc Equity Opportunity- Series 3 - Direct Plan- Dividend
BSE/BOM537411,Idfc Mutual Fund- Idfc Equity Opportunity- Series 2 - Regular Plan- Dividend
BSE/BOM537700,Idfc Mutual Fund- Idfc Equity Opportunity- Series 3 - Regular Plan- Dividend
NSE/IDFNIFTYET,IDFCAMC - IDFNIFTYET
BSE/BOM531840,Iec Education Ltd
BSE/BOM507438,Ifb Agro Industries Ltd
BSE/BOM505726,Ifb Industries Ltd
BSE/BOM500106,Ifci Ltd
BSE/BOM532133,Ifgl Refractories Ltd
BSE/BOM511682,Ifl Promoters Ltd
BSE/BOM522289,Ifm Impex Global Ltd
NSE/IGPL,IG Petrochemicals Ltd
BSE/BOM517380,Igarashi Motors India Ltd
BSE/BOM532636,Iifl Holdings Ltd
NSE/IIFLNIFTY,IIFL Mutual Fund - Nifty ETF
BSE/BOM531968,Iitl Projects Ltd
BSE/BOM514238,Ikab Securities & Investment Ltd
BSE/BOM530719,Ikf Finance Ltd
BSE/BOM532414,Ikf Technologies Ltd
BSE/BOM532907,Il&fs Engineering And Construction Company Ltd
BSE/BOM511208,Il&fs Investment Managers Ltd
BSE/BOM533177,Il&fs Transportation Networks Ltd
BSE/BOM511628,Im+ Capitals Ltd
BSE/BOM505539,Imc Finance Ltd
BSE/BOM517571,Imp Powers Ltd
BSE/BOM532614,Impex Ferro Tech Ltd
BSE/BOM526610,In House Productions Ltd
BSE/BOM531129,Inani Marbles & Industries Ltd
BSE/BOM531672,Inani Securities Ltd
BSE/BOM517370,Incap Ltd
BSE/BOM531594,Incon Engineers Ltd
BSE/BOM523465,Ind Bank Housing Ltd
BSE/BOM536709,Ind Renewable Energy Ltd
BSE/BOM517077,Ind-agiv Commerce Ltd
BSE/BOM532305,Ind-swift Laboratories Ltd
BSE/BOM524652,Ind-swift Ltd
BSE/BOM509162,Indag Rubber Ltd
BSE/BOM511473,Indbank Merchant Banking Services Ltd
BSE/BOM531505,Indergiri Finance Ltd
BSE/BOM511355,India Cements Capital Ltd
BSE/BOM530005,India Cements Ltd
BSE/BOM535667,India Finsec Ltd
BSE/BOM531253,India Gelatine & Chemicals Ltd
BSE/BOM500201,India Glycols Ltd
BSE/BOM530979,India Home Loan Ltd
NSE/INDIAINFO,India Infoline Ltd
BSE/BOM531343,India Infraspace Ltd
BSE/BOM500202,India Lease Development Ltd
BSE/BOM590065,India Motor Parts & Accessories Ltd
NSE/IMPAL,India Motor Parts and Accessories Ltd
BSE/BOM532240,India Nippon Electricals Ltd
BSE/BOM513361,India Steel Works Ltd
BSE/BOM532189,India Tourism Development Corporation Ltd
NSE/INDIABULLS,Indiabulls Financial Services Ltd
BSE/BOM535789,Indiabulls Housing Finance Ltd
NSE/IBIPL,Indiabulls Infrastructure and Power Ltd
NSE/IBPOW,Indiabulls Power Ltd
BSE/BOM532832,Indiabulls Real Estate Ltd
